conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,source_keyword
2047003497762300314,Thu Apr 23 15:11:10 +0000 2026,30,@milkiewaygalaxy Ikan sapu-sapu bukan lagi cipokable tapi nyedotable alias kesedot semua tuh ampe ubun-ubun ,2047332458392375690,,milkiewaygalaxy,in,,0,0,0,https://x.com/undefined/status/2047332458392375690,1326291729356525570,,ikan sapu sapu
2047849373783253003,Sat Apr 25 01:25:12 +0000 2026,0,Ikan sapu-sapu lagi hadah ,2047849373783253003,,,in,,0,0,0,https://x.com/undefined/status/2047849373783253003,1200445764461219840,,ikan sapu sapu
2045701405798006977,Sun Apr 19 03:09:57 +0000 2026,740,ikan sapu-sapu kemampuan adaptasinya tinggi berkembang biaknya cepat tidak ada predator alami di banyak perairan. jadi populasi mudah meledak dan menyingkirkan spesies lokal. https://t.co/yeCjpgcDSx,2045701405798006977,https://pbs.twimg.com/ext_tw_video_thumb/2045701290920181760/pu/img/leCp3u4XrK4WLmAy.jpg,,in,,11,17,92,https://x.com/undefined/status/2045701405798006977,2478047742,,ikan sapu sapu
2049830345844163030,Thu Apr 30 12:51:04 +0000 2026,0,@yuzucena Ikan sapu sapu,2049833914840351075,,yuzucena,in,,0,0,0,https://x.com/undefined/status/2049833914840351075,2028676663270371328,,ikan sapu sapu
2049804142470897917,Thu Apr 30 13:18:01 +0000 2026,0,@menjiwaei Aku gak mau ikan sapu-sapu,2049840700590883058,,menjiwaei,in,,0,0,0,https://x.com/undefined/status/2049840700590883058,1812092081827192832,,ikan sapu sapu
2049837819238268941,Thu Apr 30 13:06:34 +0000 2026,2,ikan sapu sapu https://t.co/cBrQpC10Tl,2049837819238268941,https://pbs.twimg.com/media/HHJ8oKlbAAALqL-.jpg,,in,,0,0,0,https://x.com/undefined/status/2049837819238268941,1848266442980069376,,ikan sapu sapu
2049743140798800154,Thu Apr 30 12:33:16 +0000 2026,0,@insidefolkative udh redup ya ? gak mainin squicy lagi malah unboxing ikan sapu sapu ricis ricis,2049829436242194488,,insidefolkative,in,,0,0,0,https://x.com/undefined/status/2049829436242194488,1465614150785110017,,ikan sapu sapu
2049800587659853857,Thu Apr 30 12:03:08 +0000 2026,0,@baptirste KO BAPS IH. Kira-kira siapa ikan sapu-sapunya?,2049821853192225243,,baptirste,in,,0,0,0,https://x.com/undefined/status/2049821853192225243,2950629991,,ikan sapu sapu
2049743140798800154,Thu Apr 30 10:45:38 +0000 2026,0,@insidefolkative ngebatin ikan sapu²nya gua udah ditangkep masih aja ada plastik ,2049802348567175375,,insidefolkative,in,,0,0,0,https://x.com/undefined/status/2049802348567175375,1851653617767616512,,ikan sapu sapu
2049088076572696623,Thu Apr 30 12:02:40 +0000 2026,0,@catherinebluu Saatnya kita membuat konten matahin leher ikan sapu sapu,2049821737823740098,,catherinebluu,in,,0,0,0,https://x.com/undefined/status/2049821737823740098,1271326933389737986,,ikan sapu sapu
2049777228540760100,Thu Apr 30 09:05:48 +0000 2026,0,Iya jir lama2 cfans nih mengganggu ekosistem macem ikan sapu-sapu yang musti dibasmi biar warga lokal tidak terdepak,2049777228540760100,,,in,,0,0,0,https://x.com/undefined/status/2049777228540760100,1256707067735240704,,ikan sapu sapu
2049810946512875825,Thu Apr 30 11:19:47 +0000 2026,0,Kamu jangan begini ya @clearevella Lebih baik masak siomay ikan sapu-sapu saja! :),2049810946512875825,,,in,,0,1,0,https://x.com/undefined/status/2049810946512875825,1973747278029672448,,ikan sapu sapu
2049743140798800154,Thu Apr 30 11:48:02 +0000 2026,0,@insidefolkative Gue kira si Abang Arief pake A.I buat nemenin berantas ikan sapu-sapu any WKWKWK,2049818055971397878,,insidefolkative,in,,0,0,0,https://x.com/undefined/status/2049818055971397878,1265218880676511749,,ikan sapu sapu
2049808319775203797,Thu Apr 30 11:13:48 +0000 2026,1,@bermuara_sayang Gatau taunya yg jual ikan sapu sapu,2049809440648642815,,bermuara_sayang,in,,0,1,0,https://x.com/undefined/status/2049809440648642815,1966536849528352768,,ikan sapu sapu
2049708874597560326,Thu Apr 30 05:13:11 +0000 2026,18,@thejurgenholic Punya malu jugaaa lu ikan sapu-sapu. https://t.co/c68oXKNM2A,2049718685028454503,https://pbs.twimg.com/tweet_video_thumb/HHIQRg-bEAAjU-Q.jpg,thejurgenholic,in,,0,0,0,https://x.com/undefined/status/2049718685028454503,1205929509184106496,,ikan sapu sapu
2049813552740122926,Thu Apr 30 11:30:09 +0000 2026,0,kmrn mamaku jg baru beli pangsit warnanya gelap bgt dan baunya beneran amis polll. ternyata pake ikan sapu-sapu soalnya adekku alergi smp bentol semua sebadan-badan tumbenan hbs makan pangsit. first time bgt tau kalo org rumah punya ALERGI. ,2049813552740122926,,,in,,0,0,0,https://x.com/undefined/status/2049813552740122926,2254319419,,ikan sapu sapu
2049823370657890815,Thu Apr 30 12:09:10 +0000 2026,0,#Ekado formulasii ikan gabus x jamur tiram next ikan sapu-sapu ireng https://t.co/QRmy9KeTpy,2049823370657890815,https://pbs.twimg.com/amplify_video_thumb/2049823314202460160/img/gqc1UCJba4YjHnBb.jpg,,in,,0,0,0,https://x.com/undefined/status/2049823370657890815,2020275419635998720,,ikan sapu sapu
2049834901642568005,Thu Apr 30 13:17:33 +0000 2026,0,@vallaekay WKK BASRENG IKAN SAPU SAPUU,2049840579853595130,,vallaekay,in,,0,1,0,https://x.com/undefined/status/2049840579853595130,1979426468460662785,,ikan sapu sapu
2049707265813594501,Thu Apr 30 04:39:21 +0000 2026,0,@Roitharte Kayak ikan sapu sapu lu kepancing,2049710174211031474,,Roitharte,in,,0,0,0,https://x.com/undefined/status/2049710174211031474,1334070740123979776,,ikan sapu sapu
2049800587659853857,Thu Apr 30 11:51:47 +0000 2026,0,@vanaidsen Yup. Kalau kayak ikan sapu-sapu itu mah kamu yaaa. ,2049818996418236733,,vanaidsen,in,,0,0,0,https://x.com/undefined/status/2049818996418236733,2950629991,,ikan sapu sapu
2049743140798800154,Thu Apr 30 08:26:58 +0000 2026,0,@insidefolkative Ikan sapu-sapu susah nafas karena,2049767452687609925,,insidefolkative,in,,0,0,0,https://x.com/undefined/status/2049767452687609925,1507187893521231872,,ikan sapu sapu
2049402069984084215,Wed Apr 29 10:58:47 +0000 2026,0,@lupa_mancing @QueenImaIsBack Iya itu juga bang tapi mengingat di kita regulasi mancing belum mengatur sampah pancing kayak pemberat pelampung dan benang yang bisa mengganggu ekosistem membuat itu jadi riskan kerusakan. Belum lagi air sungai yang tercemar dan masih ada yang mancing mau itu bukan ikan sapu,2049443269986132105,,lupa_mancing,in,,0,0,0,https://x.com/undefined/status/2049443269986132105,1479381823994023936,,ikan sapu sapu
2049804142470897917,Thu Apr 30 12:09:05 +0000 2026,0,@oaiyeru ikan sapu sapu invasif tah,2049823350097408311,,oaiyeru,in,,0,1,0,https://x.com/undefined/status/2049823350097408311,1982766378500468736,,ikan sapu sapu
2049851887302926825,Thu Apr 30 14:02:28 +0000 2026,0,ก๊าบ ก๊าบ ก๊าบ ม๋าไก่อาบน้ำในคลอง ตาก็จ้องแลมอง เพราะในคลองมีหอย ปลา ปู ก๊าบ ก๊าบ ก๊าบ ม๋าไก่อาบน้ำในคู ตาก็จ้องแลดู เพราะในคูมีหอย ปู ปลา https://t.co/yENKY5CN0V,2049851887302926825,https://pbs.twimg.com/media/HHKJbFdbUAAFoWw.jpg,,th,,0,0,0,https://x.com/undefined/status/2049851887302926825,1756236202213265408,,ikan sapu sapu
2049819494852538620,Thu Apr 30 11:53:46 +0000 2026,0,kenapa di scene bapaknya matilda rambutnya jadi blonde jadi keinget ajijuy ikan sapu-sapu yh ,2049819494852538620,,,in,,0,0,0,https://x.com/undefined/status/2049819494852538620,1005626868203048960,,ikan sapu sapu
2049830468355489874,Thu Apr 30 12:45:18 +0000 2026,0,@DjM_46_531 Ikan sapu sapu keknya gemoy,2049832465137906076,,DjM_46_531,in,,0,1,0,https://x.com/undefined/status/2049832465137906076,103823395,,ikan sapu sapu
2047237952720531707,Thu Apr 23 08:55:38 +0000 2026,6,Ikan sapu-sapu atau pleco awalnya dikenal sebagai pembersih akuarium karena memakan lumut. Namun ketika ukurannya membesar dan dilepas ke alam perannya berubah menjadi spesies invasif yang mengganggu keseimbangan ekosistem perairan. Dengan kemampuan bertahan di kondisi ekstrem https://t.co/rIGFcHVhQE,2047237952720531707,https://pbs.twimg.com/media/HGlAAUXakAAYMWd.jpg,,in,,0,0,2,https://x.com/undefined/status/2047237952720531707,23343960,,ikan sapu sapu
2049848339924205788,Thu Apr 30 13:48:23 +0000 2026,0,ㅤ Ada ya jenis ikan namanya Lemon dan Guppy? ㅤ,2049848339924205788,,,in,,1,0,0,https://x.com/undefined/status/2049848339924205788,1288721486417498113,,ikan sapu sapu
2049743140798800154,Thu Apr 30 13:15:36 +0000 2026,0,@insidefolkative Panjat sosial sama ikan sapu-sapu ,2049840090214793541,,insidefolkative,in,,0,0,0,https://x.com/undefined/status/2049840090214793541,192168245,,ikan sapu sapu
2049850372966260925,Thu Apr 30 13:56:27 +0000 2026,1,สเต็ปยัยพุธ ฮีเมา ฮีจิ้มแก้ม ฮียิ้มหวาน ชมว่าโคตรหล่อ ฮีซุก ฮีบ่นหนาว ฮีเลื้อยไปกอด จำแล้วนำไปใช้นะน้อนๆๆ SUPALAI MY STAYCATION BOY EP2 #คุณวันหยุดของผมSupalaiEP2 #ARGENTISxSUPALAI https://t.co/OI2kSApQI8,2049850372966260925,https://pbs.twimg.com/media/HHKIDGHbkAAKcHp.jpg,,th,,0,0,1,https://x.com/undefined/status/2049850372966260925,873545430595903488,,ikan sapu sapu
2047932841556906041,Sat Apr 25 06:56:52 +0000 2026,5,Ikan sapu-sapu itu OCD kah? Nyapu mulu heran,2047932841556906041,,,in,,0,1,0,https://x.com/undefined/status/2047932841556906041,621949807,,ikan sapu sapu
2049521983684218995,Wed Apr 29 16:24:31 +0000 2026,0,@chelwithyi ikan sapu sapu,2049525245170847899,,chelwithyi,in,,0,0,0,https://x.com/undefined/status/2049525245170847899,1987249178318413824,,ikan sapu sapu
2049844463707828420,Thu Apr 30 13:32:59 +0000 2026,0,Ikan sapu-sapu banget njun?,2049844463707828420,,,in,,0,0,0,https://x.com/undefined/status/2049844463707828420,1374924984980664322,,ikan sapu sapu
2048267103178789361,Sun Apr 26 21:25:00 +0000 2026,1,@baseconvo Ini masih waras temen gua pengen ciuman ama ikan sapu sapu,2048513699850424824,,baseconvo,in,,0,0,0,https://x.com/undefined/status/2048513699850424824,1812486781348249600,,ikan sapu sapu
2049858753844130041,Thu Apr 30 14:29:46 +0000 2026,0,Jujur kalau mau yang mirip sama ini kalau cuma ngincer sushinya aja tuh mending beli di papaya deh??? 68k isi 4 udah kenyang bego asli buat sendiri bahkan kalau itu salmon mateng bisa buat 2 kali makan,2049858753844130041,,,in,,0,0,0,https://x.com/undefined/status/2049858753844130041,1633161784050995200,,ikan sapu sapu
2046925863850279308,Thu Apr 23 18:21:46 +0000 2026,0,@chouucureem Ada lagii jedai sarden next ikan sapu sapu dijadiin jedai,2047380423547011561,,chouucureem,in,,0,0,0,https://x.com/undefined/status/2047380423547011561,2001550544679444480,,ikan sapu sapu
2049333615818113254,Thu Apr 30 09:05:52 +0000 2026,0,@bondsibondd Kek gt bentuknya macam ikan sapu sapu kak ,2049777244005097525,,bondsibondd,in,,0,1,0,https://x.com/undefined/status/2049777244005097525,1947694212947849216,,ikan sapu sapu
2049763822534357138,Thu Apr 30 12:36:34 +0000 2026,0,@MariaAlkaff_ somay sahroni rasa ikan sapu²,2049830265858699675,,MariaAlkaff_,in,,0,0,0,https://x.com/undefined/status/2049830265858699675,1582039167181107204,,ikan sapu sapu
2047944318896472208,Sat Apr 25 10:07:15 +0000 2026,6,@lavayanto99 @kompascom Ikan sapu-sapu bukan untuk dijual konsumsi pak.,2047980751896121643,,lavayanto99,in,,0,1,0,https://x.com/undefined/status/2047980751896121643,917342176748617728,,ikan sapu sapu
2049701923885142121,Thu Apr 30 04:06:34 +0000 2026,0,mertua yg minjem duit gatau waktu itu pergi aja sana ikut nangkepin ikan sapu sapu,2049701923885142121,,,in,,0,0,0,https://x.com/undefined/status/2049701923885142121,1674318510087094272,,ikan sapu sapu
2049663381028954599,Thu Apr 30 02:30:25 +0000 2026,0,@zoelfick brad pitt nemu ikan sapu sapu ngga disitu? wkwkk,2049677726723068366,,zoelfick,in,,0,1,0,https://x.com/undefined/status/2049677726723068366,1249252350096629760,,ikan sapu sapu
2047649194320744651,Fri Apr 24 12:13:53 +0000 2026,0,@ChenRcj bang sini ke ui bang banyak bgt mau biawak apa ikan sapu-sapu? semua ade,2047650231429513364,,ChenRcj,in,,0,0,0,https://x.com/undefined/status/2047650231429513364,1444367615124643847,,ikan sapu sapu
